"EventId","EventType","Timestamp","Level","Message","Exception"
"event-bf1074f781c608dd1800000000000000","0xddff70e3","2025-04-22T17:54:36.5512951Z","Information","Request finished HTTP/2 GET https://localhost:5001/service-worker.js - 404 null null 119.5926ms",""
"event-bf10ca6881c608dd1900000000000000","0xad6d2baf","2025-04-22T17:54:36.5534824Z","Information","Request reached the end of the middleware pipeline without being handled by application code. Request path: GET https://localhost:5001/service-worker.js, Response status code: 404",""
"event-bf1d964381c608dd1a00000000000000","0xddff70e3","2025-04-22T17:54:36.6373443Z","Information","Request finished HTTP/2 GET https://localhost:5001/swagger/v1/swagger.json - 200 null application/json;charset=utf-8 206.0754ms",""
"event-bf27364e81c608dd1b00000000000000","0x10c1723e","2025-04-22T17:54:36.7004238Z","Information","Failed to validate the token.","Microsoft.IdentityModel.Tokens.SecurityTokenExpiredException: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '21/04/2025 18:31:44', Current time (UTC): '22/04/2025 17:54:36'.
   at Microsoft.IdentityModel.Tokens.ValidatorUtilities.ValidateLifetime(Nullable`1 notBefore, Nullable`1 expires, SecurityToken securityToken, TokenValidationParameters validationParameters)
   at Microsoft.IdentityModel.Tokens.Validators.ValidateLifetime(Nullable`1 notBefore, Nullable`1 expires, SecurityToken securityToken, TokenValidationParameters validationParameters)
   at Microsoft.IdentityModel.JsonWebTokens.JsonWebTokenHandler.ValidateTokenPayloadAsync(JsonWebToken jsonWebToken, TokenValidationParameters validationParameters, BaseConfiguration configuration)
   at Microsoft.IdentityModel.JsonWebTokens.JsonWebTokenHandler.ValidateJWSAsync(JsonWebToken jsonWebToken, TokenValidationParameters validationParameters, BaseConfiguration configuration)"
"event-bf28376281c608dd1c00000000000000","0xa49d618b","2025-04-22T17:54:36.7070050Z","Information","Bearer was not authenticated. Failure message: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '21/04/2025 18:31:44', Current time (UTC): '22/04/2025 17:54:36'.",""
"event-bf2a0a4381c608dd1d00000000000000","0x815d6961","2025-04-22T17:54:36.7189571Z","Information","Authorization failed. These requirements were not met:
Bookify.Infrastructure.Authorization.PermissionRequirement",""
"event-bf2b2ea281c608dd1e00000000000000","0xb5958e1d","2025-04-22T17:54:36.7264418Z","Information","AuthenticationScheme: Bearer was challenged.",""
"event-bf2b6ba181c608dd1f00000000000000","0x37aa1435","2025-04-22T17:54:36.7280033Z","Information","HTTP GET /api/users/me responded 401 in 231.3457 ms",""
"event-bf2c02be81c608dd2000000000000000","0xddff70e3","2025-04-22T17:54:36.7318718Z","Information","Request finished HTTP/1.1 GET https://localhost:5001/api/users/me - 401 null null 300.668ms",""
"event-0838e66481c708dd2100000000000000","0x74b08604","2025-04-22T17:56:39.2900196Z","Information","Application is shutting down...",""
"event-4449597681c808dd2200000000000000","0x747d5f2c","2025-04-22T18:05:29.5578486Z","Warning","No store type was specified for the decimal property 'Amount' on entity type 'Apartment.CleaningFee#Money'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.",""
"event-444cd75f81c808dd2300000000000000","0x747d5f2c","2025-04-22T18:05:29.5807327Z","Warning","No store type was specified for the decimal property 'Amount' on entity type 'Apartment.Price#Money'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.",""
"event-444cde0181c808dd2400000000000000","0x747d5f2c","2025-04-22T18:05:29.5809025Z","Warning","No store type was specified for the decimal property 'Amount' on entity type 'Booking.AmenitiesUpCharge#Money'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.",""
"event-444cdee581c808dd2500000000000000","0x747d5f2c","2025-04-22T18:05:29.5809253Z","Warning","No store type was specified for the decimal property 'Amount' on entity type 'Booking.CleaningFee#Money'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.",""
"event-444cdf9881c808dd2600000000000000","0x747d5f2c","2025-04-22T18:05:29.5809432Z","Warning","No store type was specified for the decimal property 'Amount' on entity type 'Booking.PriceForPeriod#Money'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.",""
"event-444ce01281c808dd2700000000000000","0x747d5f2c","2025-04-22T18:05:29.5809554Z","Warning","No store type was specified for the decimal property 'Amount' on entity type 'Booking.TotalPrice#Money'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.",""
"event-44b3a0db81c808dd2800000000000000","0xe9507561","2025-04-22T18:05:30.2543579Z","Information","Executed DbCommand (25ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
SELECT 1",""
"event-44b6155981c808dd2900000000000000","0xfbc26d38","2025-04-22T18:05:30.2704473Z","Information","Acquiring an exclusive lock for migration application. See https://aka.ms/efcore-docs-migrations-lock for more information if this takes too long.",""
"event-44b8f6ca81c808dd2a00000000000000","0xe9507561","2025-04-22T18:05:30.2893258Z","Information","Executed DbCommand (16ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
DECLARE @result int;
EXEC @result = sp_getapplock @Resource = '__EFMigrationsLock', @LockOwner = 'Session', @LockMode = 'Exclusive';
SELECT @result",""
"event-44c533fc81c808dd2b00000000000000","0xe9507561","2025-04-22T18:05:30.3695356Z","Information","Executed DbCommand (3ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
IF OBJECT_ID(N'[__EFMigrationsHistory]') IS NULL
BEGIN
    CREATE TABLE [__EFMigrationsHistory] (
        [MigrationId] nvarchar(150) NOT NULL,
        [ProductVersion] nvarchar(32) NOT NULL,
        CONSTRAINT [PK___EFMigrationsHistory] PRIMARY KEY ([MigrationId])
    );
END;",""
"event-44c74fe481c808dd2c00000000000000","0xe9507561","2025-04-22T18:05:30.3833572Z","Information","Executed DbCommand (2ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
SELECT 1",""
"event-44c79d8181c808dd2d00000000000000","0xe9507561","2025-04-22T18:05:30.3853441Z","Information","Executed DbCommand (2ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
SELECT OBJECT_ID(N'[__EFMigrationsHistory]');",""
"event-44c9469b81c808dd2e00000000000000","0xe9507561","2025-04-22T18:05:30.3962267Z","Information","Executed DbCommand (9ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
SELECT [MigrationId], [ProductVersion]
FROM [__EFMigrationsHistory]
ORDER BY [MigrationId];",""
"event-44cadfa281c808dd2f00000000000000","0x3fd30219","2025-04-22T18:05:30.4066978Z","Information","No migrations were applied. The database is already up to date.",""
"event-44cbfd2381c808dd3000000000000000","0xe9507561","2025-04-22T18:05:30.4140067Z","Information","Executed DbCommand (2ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
DECLARE @result int;
EXEC @result = sp_releaseapplock @Resource = '__EFMigrationsLock', @LockOwner = 'Session';
SELECT @result",""
"event-4536f3cf81c808dd3100000000000000","0x4691b6b8","2025-04-22T18:05:31.1150031Z","Information","User profile is available. Using 'C:\Users\Fran\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.",""
"event-45406f8681c808dd3200000000000000","0xa8255103","2025-04-22T18:05:31.1771526Z","Information","Application started. Press Ctrl+C to shut down.",""
"event-45408c7781c808dd3300000000000000","0xc2f5e35a","2025-04-22T18:05:31.1778935Z","Information","Hosting environment: Development",""
"event-454090a881c808dd3400000000000000","0x4e1e95a3","2025-04-22T18:05:31.1780008Z","Information","Content root path: C:\Users\Fran\Pragmatic-Clean-Architecture\src\Bookify.Api",""
"event-4542c2b381c808dd3500000000000000","0xfed9c7dd","2025-04-22T18:05:31.1923891Z","Information","Request starting HTTP/2 GET https://localhost:5001/swagger/v1/swagger.json - null null",""
"event-4542cfce81c808dd3600000000000000","0xfed9c7dd","2025-04-22T18:05:31.1927246Z","Information","Request starting HTTP/2 GET https://localhost:5001/service-worker.js - null null",""
"event-454da1f881c808dd3700000000000000","0x37aa1435","2025-04-22T18:05:31.2636408Z","Information","HTTP GET /service-worker.js responded 404 in 30.7638 ms",""
"event-4550807081c808dd3800000000000000","0xddff70e3","2025-04-22T18:05:31.2824432Z","Information","Request finished HTTP/2 GET https://localhost:5001/service-worker.js - 404 null null 91.5802ms",""
"event-4550da0081c808dd3900000000000000","0xad6d2baf","2025-04-22T18:05:31.2847360Z","Information","Request reached the end of the middleware pipeline without being handled by application code. Request path: GET https://localhost:5001/service-worker.js, Response status code: 404",""
"event-455ae54181c808dd3a00000000000000","0xddff70e3","2025-04-22T18:05:31.3505601Z","Information","Request finished HTTP/2 GET https://localhost:5001/swagger/v1/swagger.json - 200 null application/json;charset=utf-8 160.0168ms",""
"event-47d6caa281c808dd3b00000000000000","0xfed9c7dd","2025-04-22T18:05:35.5179682Z","Information","Request starting HTTP/1.1 GET https://localhost:5001/api/users/me - null null",""
